,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Temp,Wind Speed
332,shchuchye,0,CA,1554615130,96,46.12,-70.67,35.01,7
333,shchuchye,0,NE,1554615301,38,13.98,10.27,74.04,3.71
334,shchuchye,75,AU,1554615654,74,-20.01,148.25,81,11.41
335,shchuchye,24,PH,1554615301,82,11,122.67,83.76,9.75
336,shchuchye,90,US,1554615070,93,34.64,-120.46,57.99,4.7
337,shchuchye,0,na,0,0,0,0,0,0
338,shchuchye,0,na,0,0,0,0,0,0
339,shchuchye,0,IN,1554615128,55,28.21,79.54,87.99,12.44
340,shchuchye,40,JP,1554613200,52,43.93,141.67,42.8,18.34
341,shchuchye,0,EG,1554613200,72,31.42,31.81,64.4,11.41
342,shchuchye,20,TH,1554613200,66,7.2,100.6,93.2,6.93
343,shchuchye,0,LY,1554615753,100,32.12,20.07,60.99,2.37
344,shchuchye,20,CA,1554613200,68,65.28,-126.83,24.8,5.82
345,shchuchye,75,TZ,1554609600,88,-5.88,39.25,80.6,5.95
346,shchuchye,0,DE,1554615303,87,54.81,9.55,42.8,1.12
347,shchuchye,0,AU,1554615635,12,-20.77,117.15,106.62,14.56
348,shchuchye,0,CM,1554615304,54,10.4,14.44,77.64,4.38
349,shchuchye,68,RU,1554615447,98,45.05,136.61,35.88,6.73
350,shchuchye,80,UZ,1554613200,59,40.56,65.69,64.4,23.04
351,shchuchye,88,PF,1554615493,98,-16.48,-151.75,85.29,17.36
352,shchuchye,88,BR,1554615305,100,-1.45,-45.72,77.55,11.54
353,shchuchye,0,US,1554615087,93,37.17,-99.65,52,3.38
354,shchuchye,1,CA,1554613200,84,51.26,-80.61,8.6,6.93
355,shchuchye,8,RU,1554615306,94,52.71,81.63,38.13,11.77
356,shchuchye,0,RU,1554615307,89,63.23,52.89,34.17,7.63
357,shchuchye,0,na,0,0,0,0,0,0
358,shchuchye,90,CA,1554615038,100,48.95,-54.61,28.99,4.7
359,shchuchye,20,JP,1554613200,35,31.65,131.02,71.6,12.75
360,shchuchye,90,NA,1554613327,82,-22.95,14.51,59,9.17
361,shchuchye,8,CA,1554615280,94,49.67,-103.85,41,4
362,shchuchye,20,NO,1554615304,69,62.58,6.12,41,21.92
363,shchuchye,0,na,0,0,0,0,0,0
364,shchuchye,24,RU,1554615309,58,59.7,150.17,39.48,8.41
365,shchuchye,8,CL,1554613200,93,-36.72,-73.12,51.8,6.93
366,shchuchye,90,CA,1554614460,94,51.15,-100.04,32,9.17
367,shchuchye,90,CL,1554613200,100,-42.48,-73.76,55.4,9.17
368,shchuchye,8,PE,1554615758,88,-4.58,-81.27,69.36,2.71
369,shchuchye,75,ID,1554613200,79,3.3,117.63,86,8.05
370,shchuchye,92,NZ,1554615016,83,-39.94,176.59,52,4.83
371,shchuchye,68,RU,1554615451,96,68.05,39.51,29.22,3.49
372,shchuchye,68,UA,1554615311,71,51.37,23.94,47.67,13
373,shchuchye,20,US,1554612960,55,60.79,-161.76,35.6,13.87
